	time	[fba__A]	[C]	[fba__B1]	[fba__B2]	[model__D]	fba__R1	fba__R2	R3	update__R3	model__R4	vR3
295	29.5	10.0	0.497106044205	0.0	0.0	4.5419106937	0.0	0.0	0.0	0.0027527499354	0.0497106044205	0.0027527499354
296	29.6	10.0	0.492430391205	0.0	0.0	4.54685617584	0.0	0.0	0.0	0.00269829143737	0.0492430391205	0.00269829143737
297	29.7	10.0	0.487795931357	0.0	0.0	4.55175512672	0.0	0.0	0.0	0.00264491031037	0.0487795931357	0.00264491031037
298	29.8	10.0	0.483202360002	0.0	0.0	4.5566079566	0.0	0.0	0.0	0.00259258524041	0.0483202360002	0.00259258524041
299	29.9	10.0	0.478649373435	0.0	0.0	4.5614150727	0.0	0.0	0.0	0.00254129533519	0.0478649373435	0.00254129533519
300	30.0	10.0	0.474136668934	0.0	0.0	4.56617687921	0.0	0.0	0.0	0.00249102011571	0.0474136668934	0.00249102011571
301	30.1	10.0	0.469663944791	0.0	0.0	4.57089377731	0.0	0.0	0.0	0.00244173950812	0.0469663944791	0.00244173950812
302	30.2	10.0	0.465230900341	0.0	0.0	4.57556616514	0.0	0.0	0.0	0.00239343383569	0.0465230900341	0.00239343383569
303	30.3	10.0	0.460837235994	0.0	0.0	4.58019443787	0.0	0.0	0.0	0.00234608381096	0.0460837235994	0.00234608381096
304	30.4	10.0	0.456482653255	0.0	0.0	4.58477898766	0.0	0.0	0.0	0.00229967052806	0.0456482653255	0.00229967052806
305	30.5	10.0	0.452166854759	0.0	0.0	4.5893202037	0.0	0.0	0.0	0.0022541754551	0.0452166854759	0.0022541754551
306	30.6	10.0	0.447889544289	0.0	0.0	4.59381847222	0.0	0.0	0.0	0.00220958042686	0.0447889544289	0.00220958042686
307	30.7	10.0	0.443650426802	0.0	0.0	4.59827417646	0.0	0.0	0.0	0.00216586763744	0.0443650426802	0.00216586763744
308	30.8	10.0	0.439449208458	0.0	0.0	4.60268769677	0.0	0.0	0.0	0.00212301963324	0.0439449208458	0.00212301963324
309	30.9	10.0	0.435285596634	0.0	0.0	4.60705941053	0.0	0.0	0.0	0.00208101930593	0.0435285596634	0.00208101930593
310	31.0	10.0	0.431159299951	0.0	0.0	4.6113896922	0.0	0.0	0.0	0.00203984988564	0.0431159299951	0.00203984988564
311	31.1	10.0	0.427070028291	0.0	0.0	4.61567891335	0.0	0.0	0.0	0.00199949493427	0.0427070028291	0.00199949493427
312	31.2	10.0	0.423017492823	0.0	0.0	4.61992744265	0.0	0.0	0.0	0.0019599383389	0.0423017492823	0.0019599383389
313	31.3	10.0	0.419001406015	0.0	0.0	4.62413564589	0.0	0.0	0.0	0.0019211643054	0.0419001406015	0.0019211643054
314	31.4	10.0	0.415021481653	0.0	0.0	4.62830388599	0.0	0.0	0.0	0.0018831573521	0.0415021481653	0.0018831573521
315	31.5	10.0	0.411077434866	0.0	0.0	4.63243252301	0.0	0.0	0.0	0.00184590230359	0.0411077434866	0.00184590230359
316	31.6	10.0	0.40716898213	0.0	0.0	4.63652191417	0.0	0.0	0.0	0.0018093842847	0.040716898213	0.0018093842847
317	31.7	10.0	0.403295841296	0.0	0.0	4.64057241388	0.0	0.0	0.0	0.00177358871452	0.0403295841296	0.00177358871452
